cohort,seed,condition,outdir,status
no_conative,9,control,outputs/p3_v3_assay/no_conative/s9/control,done
no_conative,9,body_shock,outputs/p3_v3_assay/no_conative/s9/body_shock,done
no_conative,10,body_shock,outputs/p3_v3_assay/no_conative/s10/body_shock,done
no_conative,10,control,outputs/p3_v3_assay/no_conative/s10/control,done
no_conative,11,body_shock,outputs/p3_v3_assay/no_conative/s11/body_shock,done
no_conative,11,control,outputs/p3_v3_assay/no_conative/s11/control,done
no_conative,12,body_shock,outputs/p3_v3_assay/no_conative/s12/body_shock,done
no_conative,12,control,outputs/p3_v3_assay/no_conative/s12/control,done
no_conative,13,control,outputs/p3_v3_assay/no_conative/s13/control,done
no_conative,13,body_shock,outputs/p3_v3_assay/no_conative/s13/body_shock,done
no_conative,14,body_shock,outputs/p3_v3_assay/no_conative/s14/body_shock,done
no_conative,14,control,outputs/p3_v3_assay/no_conative/s14/control,done
no_conative,15,body_shock,outputs/p3_v3_assay/no_conative/s15/body_shock,done
no_conative,15,control,outputs/p3_v3_assay/no_conative/s15/control,done
no_conative,16,body_shock,outputs/p3_v3_assay/no_conative/s16/body_shock,done
no_conative,16,control,outputs/p3_v3_assay/no_conative/s16/control,done
no_conative,17,control,outputs/p3_v3_assay/no_conative/s17/control,done
no_conative,17,body_shock,outputs/p3_v3_assay/no_conative/s17/body_shock,done
no_conative,18,control,outputs/p3_v3_assay/no_conative/s18/control,done
no_conative,18,body_shock,outputs/p3_v3_assay/no_conative/s18/body_shock,done
no_conative,19,control,outputs/p3_v3_assay/no_conative/s19/control,done
no_conative,19,body_shock,outputs/p3_v3_assay/no_conative/s19/body_shock,done
no_conative,20,body_shock,outputs/p3_v3_assay/no_conative/s20/body_shock,done
no_conative,20,control,outputs/p3_v3_assay/no_conative/s20/control,done
no_conative,21,body_shock,outputs/p3_v3_assay/no_conative/s21/body_shock,done
no_conative,21,control,outputs/p3_v3_assay/no_conative/s21/control,done
no_conative,22,control,outputs/p3_v3_assay/no_conative/s22/control,done
no_conative,22,body_shock,outputs/p3_v3_assay/no_conative/s22/body_shock,done
no_conative,23,control,outputs/p3_v3_assay/no_conative/s23/control,done
no_conative,23,body_shock,outputs/p3_v3_assay/no_conative/s23/body_shock,done
no_conative,24,body_shock,outputs/p3_v3_assay/no_conative/s24/body_shock,done
no_conative,24,control,outputs/p3_v3_assay/no_conative/s24/control,done
no_conative,25,control,outputs/p3_v3_assay/no_conative/s25/control,done
no_conative,25,body_shock,outputs/p3_v3_assay/no_conative/s25/body_shock,done
no_conative,26,body_shock,outputs/p3_v3_assay/no_conative/s26/body_shock,done
no_conative,26,control,outputs/p3_v3_assay/no_conative/s26/control,done
no_conative,27,body_shock,outputs/p3_v3_assay/no_conative/s27/body_shock,done
no_conative,27,control,outputs/p3_v3_assay/no_conative/s27/control,done
no_conative,28,control,outputs/p3_v3_assay/no_conative/s28/control,done
no_conative,28,body_shock,outputs/p3_v3_assay/no_conative/s28/body_shock,done
no_conative,29,body_shock,outputs/p3_v3_assay/no_conative/s29/body_shock,done
no_conative,29,control,outputs/p3_v3_assay/no_conative/s29/control,done
