cohort,seed,history,y_zone,body_level,pred_trend_UP_minus_DOWN,body_pred_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,metric_eig_entropy,metric_cond,metric_top1_mass,metric_trace,g_norm
full,2,control,M,mid,0.1026862661043803,0.010328163703282675,0.21319262186686197,1.5518349409103394,2.8175241152445474,15.104937235514322,0.15380946298440298,10.29900868733724,3.2505412101745605
full,2,control,T,high,0.07957853625218074,0.008389770984649658,0.14255249500274658,1.578698952992757,2.8175379435221353,15.10431957244873,0.15385060012340546,10.297904968261719,3.250661532084147
full,2,control,T,low,0.11957816034555435,0.010574658711751303,0.22699025770028433,1.5433754126230876,2.8175906340281167,15.1023530960083,0.15382762749989828,10.297718365987143,3.2506283124287925
full,2,control,T,mid,0.11219120522340138,0.01628572742144267,0.2046648065249125,1.5515596866607666,2.8175813357035318,15.102455457051596,0.15383553008238474,10.297674496968588,3.250678062438965
full,3,body_shock,B,high,0.027153131862481434,-0.0014736652374267578,0.05250601967175802,1.605486313501994,1.938201864560445,222.87092081705728,0.5181955893834432,45.633995056152344,3.0793150266011557
full,3,body_shock,B,low,0.016138979544242222,-0.003651626408100128,0.029537543654441833,1.6079576412836711,1.958563208580017,209.98200480143228,0.5116623441378275,43.61783218383789,3.0615367889404297
full,3,body_shock,B,mid,0.01428049678603808,-0.0061044842004776,0.024529521663983662,1.6080105304718018,1.9467604160308838,216.9041748046875,0.5154473582903544,44.67342758178711,3.0749809741973877
full,3,body_shock,M,high,0.043095399936040245,0.0025493204593658447,0.08794239163398743,1.5993358691533406,1.9364067316055298,223.05706278483072,0.5188014705975851,45.598350524902344,3.0848817030588784
full,3,body_shock,M,low,0.04152575507760048,-0.0008626828591028849,0.08329604069391887,1.6003698507944744,1.9544517596562703,211.46214803059897,0.5130326151847839,43.775567372639976,3.062870422999064
full,3,body_shock,M,mid,0.03311469405889511,-0.002542694409688314,0.06435876588026683,1.6040068864822388,1.9478944540023804,215.92056274414062,0.5151441295941671,44.5061149597168,3.068870464960734
full,3,body_shock,T,high,0.12189476688702901,0.011453896760940552,0.2616334358851115,1.5213120778401692,1.9308756192525227,226.30966186523438,0.5205990274747213,46.07707977294922,3.0830891927083335
full,3,body_shock,T,low,0.0834508736928304,0.0017952769994735718,0.1743387927611669,1.5704795916875203,1.953719139099121,210.635498046875,0.513368546962738,43.572715759277344,3.0613351662953696
full,3,body_shock,T,mid,0.10154497375090916,0.0040725717941919965,0.21437263985474905,1.5502216815948486,1.9434101581573486,217.11234029134116,0.5166678627332052,44.59185282389323,3.0726725260416665
full,3,control,B,high,0.14615621666113535,0.006047248840332031,0.2882186869780223,1.504290024439494,2.611013889312744,32.74883270263672,0.23993109166622162,13.653876940409342,3.2041610876719155
full,3,control,B,low,0.12164342900117238,0.006066948175430298,0.2567356626192729,1.5251188278198242,2.5921767552693686,34.94117291768392,0.24992064634958902,13.9722261428833,3.2056233088175454
full,3,control,B,mid,0.11549679438273112,0.007570674022038777,0.24711793661117554,1.530673623085022,2.6010793844858804,33.86614545186361,0.2447442263364792,13.835389137268066,3.207791566848755
full,3,control,M,high,0.13659500579039255,0.004592319329579671,0.25006452202796936,1.5284631649653118,2.610912243525187,32.78373781840006,0.23998012145360312,13.66586430867513,3.206387440363566
full,3,control,M,low,0.13334561387697855,0.009433646996816,0.24909924467404684,1.528911868731181,2.595905145009359,34.54134941101074,0.24791746338208517,13.928412755330404,3.204268296559652
full,3,control,M,mid,0.1487643818060557,0.011609494686126709,0.2831897536913554,1.507067084312439,2.6019274393717446,33.810953776041664,0.24462774892648062,13.821410497029623,3.204306681950887
full,3,control,T,high,0.05852300922075907,-0.0021190245946248374,0.10323667029539745,1.5920251210530598,2.617353836695353,32.09809939066569,0.23658373951911926,13.575055122375488,3.201322078704834
full,3,control,T,low,0.07944863041241963,0.008262818058331808,0.1437104493379593,1.5789566834767659,2.5955332120259604,34.643911361694336,0.24826900164286295,13.950163841247559,3.2016519705454507
full,3,control,T,mid,0.0697500358025233,0.006162703037261963,0.12433650096257527,1.584497332572937,2.6032756169637046,33.735313415527344,0.24414891004562378,13.818603515625,3.2015103499094644
full,4,body_shock,B,high,0.10735383133093516,0.01018214225769043,0.2331403891245524,1.538990060488383,2.6679867108662925,29.688631057739258,0.22334479788939157,13.297439257303873,3.1406098206837973
full,4,body_shock,B,low,0.03846959521373113,-0.0025335848331451416,0.07654351492722829,1.6018102169036865,2.668084700902303,29.676154454549152,0.2233004073301951,13.294477462768555,3.1411875089009604
full,4,body_shock,B,mid,0.06164161364237467,0.008600453535715738,0.13337908685207367,1.5855753024419148,2.6678876082102456,29.69318199157715,0.22335405151049295,13.298891067504883,3.141050656636556
