cohort,seed,window,n_steps,max_episode,top_occ,mid_occ,bottom_occ,TR_occ,MR_occ,BR_occ,body_state_mean,body_state_last,body_pe_mean,obs_pe_mean,alpha_mean,g_norm_mean,g_norm_last,body_u_mean,body_u_last,body_u_delta_mean,trend_abs_err,trend_pred_mean,trend_target_logged_mean,conative_loss_mean,metric_eig_entropy_mean,metric_cond_mean,metric_cond_p95,g_top_bottom_dist,g_centroid_spread
no_conative,15,last50,10000,179,0.2323,0.4062,0.3615,0.2315,0.3633,0.2974,0.418582080508396,0.07583317160606384,0.00017859950666940152,0.0162608589775773,0.04574567297324538,3.6095826501369475,3.587869167327881,-0.4367158410327254,-2.5003567776864095,-0.0033993538499159227,0.010221533711374563,-0.015920824187621474,-0.016226995395501286,0.0,2.887759610267707,9.513313177959818,16.84881644464182,0.5063457034928018,0.3432198625729179
no_conative,16,last50,10000,179,0.6433,0.3411,0.0156,0.5274,0.2489,0.0156,0.6403342702060938,0.7629483342170715,0.0001105418521309253,0.030946072413559886,0.03252523643001914,3.330328126907349,3.2427966594696045,0.656699189892359,1.1689121273184468,0.007940674824906499,0.009700127763704557,0.039512310506822544,0.03885285197697757,0.0,2.8942491935482213,10.347409047655582,14.495279491455927,0.3451198179622561,0.2507628916023856
no_conative,17,last50,10000,179,0.4424,0.3329,0.2247,0.442,0.3119,0.214,0.5240785496369004,0.9023141860961914,0.0001655711082929859,0.00852333887340501,0.06139670077934861,3.490393461179733,3.4561030864715576,0.09387332680613142,2.2232062761323226,0.001363945829042296,0.010971794938919128,0.007644625991955399,0.007330135432046075,0.0,2.8431991962733623,12.233703818563752,26.398970602155295,0.3243833430220525,0.21913432930923796
no_conative,18,last50,10000,179,0.4532,0.2724,0.2744,0.4354,0.2365,0.254,0.5149677036687732,0.07640773802995682,0.00018354197271642424,0.012263613952865125,0.060888116147369144,3.465310435175896,3.4846553802490234,0.043580528474823174,-2.4921867693902007,0.00078781262596172,0.009660335275527015,0.0036881445481725676,0.0034764944089135013,0.0,2.875817045415987,9.869254521408621,17.5007164777788,0.2605353058189848,0.17924108085675097
no_conative,19,last50,10000,179,0.2073,0.4957,0.297,0.2071,0.4742,0.288,0.4386700285486877,0.37330618500709534,0.00012784955552830706,0.00856364131050068,0.03721261065155268,3.42501176302433,3.453620672225952,-0.3211206882328329,-0.5180590851243285,-0.0034705889570039263,0.010585196791479408,-0.016666105446778236,-0.01668748356610983,0.0,2.872824645375384,10.315286460256921,18.796610520412603,0.45932870934920783,0.31932466509161683
no_conative,20,last50,10000,179,0.3533,0.0751,0.5716,0.2085,0.0255,0.5066,0.4073732336178422,0.9209485054016113,0.00029864852247459185,0.021765710698379553,0.045419552022963765,3.4688132708072663,3.428297996520996,-0.565062300302295,2.4553043532237795,-0.005049114691745305,0.008254849778973363,-0.024941514146793634,-0.024857462150373946,0.0,2.880752411791909,11.955018220758026,16.80848050711738,0.22167079949461832,0.15212296766644093
no_conative,21,last50,10000,179,0.4048,0.478,0.1172,0.4048,0.453,0.1065,0.5371835262097419,0.5638437867164612,8.196344197779291e-05,0.008863534348059329,0.06492265115752816,3.424764764499664,3.4101662635803223,0.16029861978926524,0.25677680872337255,0.0027417606278237294,0.010573168319609628,0.013924885223899036,0.013783024493943028,0.0,2.869885535962938,10.415307424489885,19.67501127346226,0.5294770577779219,0.3543010569637965
no_conative,22,last50,10000,179,0.3429,0.4301,0.227,0.2864,0.3759,0.1857,0.4952799849033356,0.9203102588653564,0.00020462544739026747,0.019189612263740854,0.07806862861886621,3.4813136699438094,3.4721388816833496,-0.031275779496941526,2.446570032602009,0.0002103922050984349,0.010276231497743584,0.0012117606269515819,0.0009910235091027274,0.0,2.8888392354630237,9.751189164054354,23.725906259670094,0.448073726726018,0.31310647330756775
no_conative,23,last50,10000,179,0.5565,0.2951,0.1484,0.4916,0.24,0.0311,0.5838930593710393,0.9232928156852722,0.00032842877552140547,0.03374523576205538,0.042492651521414515,3.523956205844879,3.560373306274414,0.36320765775337355,2.487950795115764,0.004616473963106646,0.009393517934723646,0.0226345386386849,0.022644340598974112,0.0,2.82602346411115,14.761045322935969,25.49159157810455,0.41823337724772097,0.2896582102067316
no_conative,24,last50,10000,179,0.4336,0.4998,0.0666,0.4324,0.4734,0.0633,0.5600535593539476,0.28575846552848816,0.00010658349060200247,0.008493287428839539,0.05409652699157596,3.279580766034126,3.2560925483703613,0.2809025442914164,-0.9160742778557255,0.003740678976999221,0.009459240105064978,0.018781828581704758,0.01868763860003479,0.0,2.8824495009215356,10.2698925658579,16.656330037147164,0.3408723856213635,0.2511523184015441
