cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
full,6,mean,mid,200,0.11478546667844057,0.13085863254964353,0.21994862362742423,1.5437753933668137,0.0012980731576681137,0.0026061944663524628,2.5281652617650253e-05,0.5170256590098142,0.08522422685236795
full,6,mean,top,200,0.04087789360433817,0.05203242091462016,0.07431118950247764,1.5972335124015808,0.0015207482501864433,0.002682299017906189,2.0140024694228487e-05,0.7280823145061731,1.099260761127657
full,6,random,bottom,200,0.08618139596655965,0.08383812114596367,0.18036119043827056,1.5665589064359664,0.003127275686711073,0.0065224400162696835,8.799432298701503e-05,0.37073580756783486,-0.5497014544550085
full,6,random,mid,200,0.11466500768437982,0.13085863254964353,0.2197555099055171,1.5438630545139314,0.002003565076738596,0.004049353562295437,5.313929886597179e-05,0.5170256590098142,0.08522422685236795
full,6,random,top,200,0.04094810994341969,0.05203242091462016,0.07444085251539946,1.5971599811315536,0.002114680167287588,0.0037575675174593925,3.7445416687660326e-05,0.7280823145061731,1.099260761127657
full,6,shuffled,bottom,200,0.08651441492140294,0.08383812114596367,0.18103291526436804,1.566267215013504,0.003050861246883869,0.006419606059789657,8.03972241919837e-05,0.37073580756783486,-0.5497014544550085
full,6,shuffled,mid,200,0.11452323699370026,0.13085863254964353,0.21946152828633786,1.544023445248604,0.0020257299579679966,0.004197714850306511,5.68113280758098e-05,0.5170256590098142,0.08522422685236795
full,6,shuffled,top,200,0.04078603021800518,0.05203242091462016,0.07418892115354538,1.597268984913826,0.0019785193726420403,0.003515118956565857,3.3431999559070394e-05,0.7280823145061731,1.099260761127657
full,6,zero,bottom,200,0.06060731479898095,0.08383812114596367,0.12611487977206706,1.5879634410142898,0.02626922382041812,0.055566893443465236,0.004067315543070435,0.37073580756783486,-0.5497014544550085
full,6,zero,mid,200,0.11378208637237548,0.13085863254964353,0.22546516343951226,1.542635247707367,0.017025656439363955,0.03412502929568291,0.002514262807671912,0.5170256590098142,0.08522422685236795
full,6,zero,top,200,0.06195733884349466,0.05203242091462016,0.11138030603528022,1.5871382933855056,0.02104601660743356,0.037000461295247075,0.002192840832285583,0.7280823145061731,1.099260761127657
full,7,actual,bottom,200,0.09543860889971256,0.0823610832542181,0.20823001861572266,1.552234907746315,0.0,0.0,0.0,0.4137705673277378,-0.3632450820813902
full,7,actual,mid,200,0.10982177982106806,0.13124855667352675,0.2183393696695566,1.5440856957435607,0.0,0.0,0.0,0.5399190831184387,0.19682529285720116
full,7,actual,top,200,0.04055385487154126,0.05304632985964417,0.07513192176818848,1.5973736029863357,0.0,0.0,0.0,0.7165312513709068,1.0350750976988365
full,7,mean,bottom,200,0.09604340083897114,0.0823610832542181,0.20995022512972356,1.5517943888902663,0.008587417230010032,0.01862781189382076,0.0005926354137091039,0.4137705673277378,-0.3632450820813902
full,7,mean,mid,200,0.1110590192861855,0.13124855667352675,0.22031198229640722,1.5431959021091461,0.0046360593289136885,0.009870284833014012,0.0002911969608703657,0.5399190831184387,0.19682529285720116
full,7,mean,top,200,0.04037700742483139,0.05304632985964417,0.07475122738629579,1.5975039172172547,0.005130638163536787,0.009414212964475154,0.00019916802599937,0.7165312513709068,1.0350750976988365
full,7,random,bottom,200,0.09601517897099257,0.0823610832542181,0.20961491152644157,1.5515973979234696,0.01141703899949789,0.024798475801944733,0.001153570185051649,0.4137705673277378,-0.3632450820813902
full,7,random,mid,200,0.10973395807668566,0.13124855667352675,0.21802094273269176,1.5441390681266784,0.006415886357426643,0.01377396285533905,0.0006350869092966604,0.5399190831184387,0.19682529285720116
full,7,random,top,200,0.04039525526575744,0.05304632985964417,0.07480508305132388,1.597280843257904,0.007735543781891465,0.014169059619307518,0.0004878792366412199,0.7165312513709068,1.0350750976988365
full,7,shuffled,bottom,200,0.09466885104775428,0.0823610832542181,0.20631690211594106,1.5532133495807647,0.010498546361923218,0.022535408660769463,0.0010231207489323423,0.4137705673277378,-0.3632450820813902
full,7,shuffled,mid,200,0.1102159372717142,0.13124855667352675,0.21876882415264845,1.5438443380594253,0.0064355175755918025,0.014005356393754482,0.0006170401363306155,0.5399190831184387,0.19682529285720116
full,7,shuffled,top,200,0.041202542316168544,0.05304632985964417,0.07622284844517707,1.597061237692833,0.0066934673488140105,0.012296179011464119,0.0003413170510816599,0.7165312513709068,1.0350750976988365
full,7,zero,bottom,200,0.07392151160165668,0.0823610832542181,0.16103426299989224,1.5749906384944916,0.021517097298055888,0.04719575561583042,0.0034114049476920627,0.4137705673277378,-0.3632450820813902
full,7,zero,mid,200,0.11378606529906392,0.13124855667352675,0.2322712092846632,1.5382786673307418,0.012729927748441696,0.0278570556640625,0.0019863699030247517,0.5399190831184387,0.19682529285720116
full,7,zero,top,200,0.05661978580988944,0.05304632985964417,0.10421636771410704,1.5902264958620071,0.016065930938348173,0.02908444594591856,0.001485630302413483,0.7165312513709068,1.0350750976988365
full,8,actual,bottom,200,0.08762088002637029,0.08679710347205401,0.1784658570587635,1.5676183271408082,0.0,0.0,0.0,0.44787612818181516,-0.21978317913537648
full,8,actual,mid,200,0.11506249513477088,0.13196303334087134,0.221164705529809,1.5445469170808792,0.0,0.0,0.0,0.5357364325970412,0.17383781419253172
full,8,actual,top,200,0.05915495367720723,0.06010031186044216,0.10500818528234959,1.5887332499027251,0.0,0.0,0.0,0.7136048732697964,1.0098227048305315
full,8,mean,bottom,200,0.09142537511885167,0.08679710347205401,0.18682056732475757,1.5645804804563523,0.006850791927427054,0.014516285434365273,0.0005227148851190578,0.44787612818181516,-0.21978317913537648
full,8,mean,mid,200,0.11649505712091923,0.13196303334087134,0.22284135036170483,1.5435103374719619,0.00563045796006918,0.011925009787082672,0.0005088050414838108,0.5357364325970412,0.17383781419253172
full,8,mean,top,200,0.059219503756612536,0.06010031186044216,0.10487959146499634,1.58881332218647,0.006837851814925671,0.012295463606715202,0.00036801889802973164,0.7136048732697964,1.0098227048305315
