cohort,seed,valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
full,6,bottom,BL,7.0,0.4449392259120941,-0.2213801870128178,0.0045799187251499,0.001818511194049,0.0700733549892902,0.1057932677555679,0.0289113683892147,0.006808544908251
full,6,bottom,BM,90.0,0.4237461351686054,-0.3117336170881527,0.004547651277648,0.001305325711167,0.0693768709484073,0.082281436043978,0.0183654461159474,0.0079794901112715
full,6,bottom,BR,200.0,0.3673883359134197,-0.5708419587662806,0.0081896850466728,0.0012165618942439,0.0936498500779271,0.084514047133684,0.0252981540407927,0.010100571848452
full,6,mid,ML,43.0,0.4774160828701285,-0.0907886187812796,0.0129846327526624,0.0025851865900549,0.1159588524768518,0.1319070738672007,0.0236554209056288,0.0081949942680292
full,6,mid,MM,200.0,0.4950851421058178,-0.0209396781377595,0.0156984004378318,0.0025997779445915,0.1209728045016527,0.1323127457518887,0.0150408885814249,0.009871776793152
full,6,mid,MR,200.0,0.5478960530459881,0.2368586195241331,0.0138947282731533,0.0022515653337119,0.1081064653769135,0.1301533119326204,0.0088298445302643,0.0263391500618308
full,6,top,TL,34.0,0.6112596690654755,0.4544595465586037,0.0037834644317626,0.0007096246371553,0.0439918119022074,0.0520094578896607,0.0067130138768869,0.0128575396477518
full,6,top,TM,200.0,0.5969178233295679,0.4215809076129978,0.0072544538974761,0.0009271060911673,0.0616253820806741,0.0643184837826432,0.0083803998678922,0.0175203593238256
full,6,top,TR,200.0,0.7463497661799192,1.1768085185517154,0.0037902981042861,0.0004925089192205,0.0362739658355712,0.0485606785059552,0.0068735297769308,0.0166005849384237
full,7,bottom,BL,20.0,0.4217888072133064,-0.3165101548570181,0.0089800223708152,0.0014316495537382,0.101318933442235,0.0893689134530658,0.0227442960254848,0.0107942756265401
full,7,bottom,BM,93.0,0.435782064032811,-0.2605338366399959,0.0140033697569242,0.0015259636002991,0.1040739413070422,0.0928864399264536,0.0253444582534333,0.0128641675717087
full,7,bottom,BR,200.0,0.4141588305681944,-0.3653954399292772,0.0149919813871383,0.0012630231699714,0.100537564381957,0.0824190719895181,0.0350547209242358,0.0143643149361014
full,7,mid,ML,14.0,0.4596503866570336,-0.1655538968593743,0.0124857681138174,0.0023883668993561,0.1035849122064454,0.1273598465331409,0.0099200260426316,0.0336949603099908
full,7,mid,MM,200.0,0.4986611826717853,-0.0048490866284298,0.0176504233479499,0.0026089821830923,0.118408219628036,0.1328477898034252,0.0112197496788576,0.022997414227575
full,7,mid,MR,200.0,0.5383594667166471,0.184011764688233,0.0163173256069421,0.0023426733536781,0.106337295807898,0.1304906133798495,0.0131874481146223,0.0347347335377708
full,7,top,TL,98.0,0.6626403337838699,0.6814236149535265,0.0037718841007777,0.0007363827632276,0.0448975089405264,0.0561664792940608,0.0104560484843594,0.015633276644714
full,7,top,TM,200.0,0.610289154946804,0.4840085404236564,0.0080340594798326,0.0009497093916101,0.0522978886961936,0.0662517582354785,0.0068148862570524,0.0207837065355852
full,7,top,TR,200.0,0.7433208471536636,1.1778880783337515,0.0039073101431131,0.0004866170906473,0.0337511084415018,0.0480584387271077,0.0086903250217437,0.015776855375152
full,8,bottom,BL,90.0,0.3809333791335423,-0.4943886610087459,0.0042694909705056,0.0011010353624234,0.0797075621783733,0.0729086613618685,0.0423546938122146,0.0355139569275909
full,8,bottom,BM,147.0,0.3861832599453375,-0.486617790472357,0.0065150088598939,0.0013222175893794,0.0879683778399512,0.0876474879629102,0.0420752036492942,0.0380040810120349
full,8,bottom,BR,200.0,0.4366134893894196,-0.267309904995472,0.0067682608217,0.0011816390047046,0.0861277825385332,0.0791590168456418,0.0507238429947756,0.0432215669192373
full,8,mid,ML,200.0,0.5331671312451363,0.1583129443977309,0.0127455036342144,0.0024413911641361,0.1155292536690831,0.13128124411486,0.0151006047567352,0.018282693112269
full,8,mid,MM,200.0,0.4962667048722505,-0.013710449539659,0.0135589274019002,0.0025940638615377,0.1151578078046441,0.1324941454034451,0.017167687783949,0.0185628123767673
full,8,mid,MR,200.0,0.5449522022157908,0.2201636789484637,0.013005813807249,0.0022485641992588,0.1123790189623832,0.1302294658180521,0.0164607287698891,0.030709602702409
full,8,top,TL,141.0,0.6167334227274496,0.5203138994840587,0.0052961193500681,0.0011138541805672,0.0757382916590423,0.0765368774034963,0.0083802727097315,0.0196137140234205
full,8,top,TM,200.0,0.614911327213049,0.5090025905449685,0.0057098215073347,0.0008874367751967,0.0718017007410526,0.0644343754274865,0.0086942561343312,0.0232682751701213
full,8,top,TR,200.0,0.7350159898400307,1.1186443353938016,0.0020093073695898,0.0005587632287774,0.0532035411708056,0.0530580201758377,0.0064936648681759,0.0158107637712964
full,9,bottom,BL,5.0,0.4642383575439453,-0.1433970929210163,0.0014788091182708,0.0013946528513759,0.0863347128033638,0.085170931956067,0.0434476409107446,0.0422838598489761
full,9,bottom,BM,86.0,0.4302383935035661,-0.2832756608189766,0.0001652769224588,0.0014750347159057,0.0762062706053257,0.0910001132036151,0.0229391181262123,0.0363740136110505
full,9,bottom,BR,82.0,0.3738886328732095,-0.5210503973204447,-0.0005657305804694,0.0015221183818752,0.0722904925847925,0.0970490611344098,0.0139700075634187,0.0350844632925056
full,9,mid,ML,31.0,0.4906882864813651,-0.0372732170540845,0.0075206468182225,0.0026744713962883,0.1248243698670018,0.1342902313453939,0.0093237000006821,0.0181656427561275
full,9,mid,MM,200.0,0.4908967325091362,-0.0370838777611825,0.0061549977213144,0.0026202087825644,0.1224278726056218,0.1329020398577826,0.0142116040270775,0.0209279036149382
full,9,mid,MR,200.0,0.5180503131449222,0.0823662529447891,0.0073082404583692,0.0024649712040479,0.1193827891722321,0.1303654306361647,0.0131691203825175,0.021690330049023
full,9,top,TL,6.0,0.502608393629392,0.01048100776782,0.0078253994385401,0.001384583186429,0.078599934776624,0.0852718339873789,0.0083063008884588,0.0134901407485206
full,9,top,TM,200.0,0.6135835382342338,0.537572366827801,0.0050402125716209,0.0009248869241714,0.0619155922159552,0.0644727175686382,0.006121959593147,0.0165674878447316
