cohort,seed,t,PC1_ctrl,PC2_ctrl,PC3_ctrl,PC1_shock,PC2_shock,PC3_shock,pc3_shock_control_dist,t_rel
no_body_in_g,8,143,2.5080420658841414,0.0765441549274975,0.199657587646012,2.483075659209271,0.068188727082003,0.2050994008285575,0.02688397231530336,63
no_body_in_g,8,144,2.5050135470584616,0.0828729453279351,0.1987362920608677,2.4792670522362,0.0758264096226174,0.2038030068946438,0.027169969824898044,64
no_body_in_g,8,145,2.5023178126606838,0.088487966658979,0.1981472333891306,2.4758086428312325,0.0827862827487736,0.2028097343186735,0.02751334584118358,65
no_body_in_g,8,146,2.501748288841742,0.0906721841970439,0.1976454022310887,2.474663263722218,0.0858904523555883,0.2021101339875349,0.02786390810324119,66
no_body_in_g,8,147,2.501303064190986,0.0923612438879279,0.1975385945009671,2.4736970498359203,0.0884625721811486,0.2018042946755654,0.028204394473714502,67
no_body_in_g,8,148,2.500958832198456,0.0934950231107108,0.1973535131082555,2.4728319326583907,0.0904314065769534,0.2014479659573309,0.028587982932276733,68
no_body_in_g,8,149,2.5048230894370724,0.0882296968444624,0.1983445593608159,2.47689123063636,0.0847050393430799,0.2025471977185858,0.028465314256673674,69
no_body_in_g,8,150,2.509789920031058,0.0790653096456155,0.199115295526899,2.4822468431833804,0.0740822276321589,0.2037134286188193,0.02836538412433232,70
no_body_in_g,8,151,2.5102592902461534,0.0797108878558024,0.1992747091603401,2.4823557150833926,0.0753218864215811,0.2037266321297438,0.028595322319899457,71
no_body_in_g,8,152,2.509663746484573,0.0815755930146888,0.1990213243619573,2.481227162529375,0.0781129422188719,0.2032570328915961,0.028958081502800846,72
no_body_in_g,8,153,2.5094148836798427,0.0824352966440331,0.1990888717435213,2.4805140649005697,0.079800207397677,0.2031451453044099,0.029302804928016755,73
no_body_in_g,8,154,2.5143384000844318,0.0724439655217653,0.2000442532498495,2.485867986473141,0.0683639395399118,0.2044865177311225,0.02910231566271252,74
no_body_in_g,8,155,2.5191898092561287,0.0626526819943801,0.2009406065976212,2.4911199476719714,0.0571204954016128,0.2057700347184338,0.029014575541011053,75
no_body_in_g,8,156,2.519843942178582,0.062448642853145,0.2013853848855217,2.491462528075897,0.0574820495478197,0.2060809712041092,0.029192811553598194,76
no_body_in_g,8,157,2.524542061031018,0.0530403637530661,0.20219330361027,2.4965403993313786,0.0466686680296132,0.2072623223750604,0.029161387408199714,77
no_body_in_g,8,158,2.5292094370590155,0.0438176157378018,0.2029401245999898,2.501591581590392,0.0360231421967674,0.208398066507825,0.02921110898848165,78
no_body_in_g,8,159,2.5298849408143185,0.0438151852942089,0.2032868944524526,2.50195363878652,0.0365982211486382,0.2086011190950154,0.029333993727383493,79
no_body_in_g,9,80,-0.8209825071611486,-0.8444290533681122,1.1281387153686209,-0.8079636717983396,-0.853448273198806,1.1209650344472026,0.017386721902665436,0
no_body_in_g,9,81,-0.8213061437447567,-0.8472921720622054,1.1283306375725854,-0.8084010291907366,-0.8584502290030375,1.1217589347754071,0.018281999179566587,1
no_body_in_g,9,82,-0.8185633211295142,-0.8483709444309938,1.1277146669347853,-0.8043470262750311,-0.8608234802206517,1.120627456812722,0.020184083687316414,2
no_body_in_g,9,83,-0.8194657256986064,-0.8507277234858238,1.1286222942529,-0.8056046210694924,-0.8654497764226299,1.1222079539628047,0.021213505735038413,3
no_body_in_g,9,84,-0.8166476869506637,-0.8511953683212935,1.1272245808250427,-0.8013188301209643,-0.8670227895372054,1.120089441660789,0.023160123595192397,4
no_body_in_g,9,85,-0.8180942109301695,-0.8529615861122856,1.1284236142605026,-0.7975435381251258,-0.8684256255267024,1.1183823936053032,0.027609650124494633,5
no_body_in_g,9,86,-0.8156366004760455,-0.8533876116391758,1.1277386560311928,-0.7941689873014122,-0.8699358052627522,1.1172898662536597,0.029049584083668836,6
